Objects
100
,,Global Angle fuselage:fuselage,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
243,0,0.264363,-0.419529,0.074322,5038.506348,15.288504,1632.485474
244,0,0.265993,-0.419140,0.071876,5060.858398,16.076630,1633.640625
245,0,0.271222,-0.416018,0.070165,5083.140137,16.760302,1635.602295
246,0,0.273223,-0.415862,0.067964,5105.381836,17.756260,1636.855713
247,0,0.274889,-0.416716,0.066058,5127.634277,18.795849,1638.556030
248,0,0.276721,-0.418072,0.063473,5149.935059,19.962648,1640.127808
249,0,0.274298,-0.418211,0.059967,5171.704102,21.250505,1642.318726
250,0,0.276072,-0.418682,0.058099,5193.939453,22.493401,1643.586914
251,0,0.276920,-0.420364,0.056529,5216.076660,23.774092,1644.720093
252,0,0.277235,-0.420471,0.055160,5238.036621,24.992342,1645.926514
253,0,0.278231,-0.424949,0.053205,5259.966309,26.312925,1646.641968
254,0,0.278006,-0.423871,0.052059,5281.993164,27.410318,1647.628784
255,0,0.280368,-0.425130,0.051690,5304.168457,28.503071,1647.968140
256,0,0.279661,-0.425572,0.051091,5326.185059,29.563257,1648.825928
257,0,0.278902,-0.428863,0.049658,5347.926270,30.792046,1649.387695
258,0,0.279096,-0.431481,0.048697,5369.863281,32.003300,1649.819092
259,0,0.276899,-0.433066,0.046400,5391.272949,33.193821,1650.900146
260,0,0.275199,-0.433877,0.045571,5413.132812,34.468960,1651.957397
261,0,0.275280,-0.433187,0.044441,5434.724121,35.652935,1652.675049
262,0,0.275536,-0.433863,0.043498,5456.487305,36.693974,1653.461426
263,0,0.275717,-0.433568,0.042587,5478.223145,37.933651,1654.202759
264,0,0.276042,-0.434811,0.041333,5499.867676,38.964970,1654.792236
265,0,0.275973,-0.434052,0.040524,5521.538086,39.898560,1655.506958
266,0,0.276233,-0.431903,0.039640,5543.185547,40.646275,1656.692993
267,0,0.277300,-0.433473,0.038561,5564.872070,41.470318,1657.415039
268,0,0.278060,-0.434891,0.037029,5586.809082,42.328426,1658.392456
269,0,0.278559,-0.434795,0.036060,5608.893555,43.045631,1659.394287
270,0,0.278960,-0.434223,0.034925,5631.038574,43.749668,1660.538574
271,0,0.279737,-0.434068,0.033446,5653.144531,44.350872,1661.532959
272,0,0.280102,-0.433486,0.032034,5675.536621,44.800606,1662.668945
273,0,0.280240,-0.433406,0.030610,5698.091797,45.238628,1663.908325
274,0,0.279592,-0.430496,0.029828,5720.901367,45.539658,1665.215576
275,0,0.280000,-0.429446,0.028182,5743.517090,45.784611,1666.084961
276,0,0.279339,-0.426628,0.027343,5766.430176,45.933754,1667.299561
277,0,0.281383,-0.424289,0.026143,5789.017090,46.060776,1668.364014
278,0,0.280726,-0.421942,0.025597,5811.945312,46.238586,1669.376221
279,0,0.281407,-0.416456,0.023864,5834.815430,46.551620,1670.661865
280,0,0.279225,-0.414829,0.022004,5857.878906,46.904846,1671.703979
281,0,0.279407,-0.410653,0.020367,5880.583496,47.139439,1672.685059
282,0,0.279353,-0.406219,0.018957,5903.686035,47.372696,1673.941040
283,0,0.279164,-0.402142,0.017546,5926.585449,47.554474,1675.028931
284,0,0.280824,-0.398997,0.016693,5949.217773,47.692310,1676.147949
285,0,0.280775,-0.393950,0.015023,5972.202148,48.058460,1677.140259
286,0,0.280181,-0.390205,0.013834,5995.063965,48.163136,1678.418701
287,0,0.280292,-0.387810,0.011627,6017.656738,48.273144,1679.084961
288,0,0.279188,-0.383996,0.010678,6040.540039,48.666008,1680.116089
289,0,0.278631,-0.381417,0.009010,6063.262695,49.097328,1680.783813
290,0,0.278557,-0.377596,0.006953,6086.018555,49.428665,1681.376465
291,0,0.278381,-0.375274,0.005691,6108.754395,49.906376,1682.039917
292,0,0.277475,-0.368732,0.004567,6131.339355,50.482738,1682.956177
293,0,0.279148,-0.367982,0.002166,6153.981445,51.214489,1683.246216
294,0,0.279941,-0.366079,0.000756,6176.558594,51.991741,1684.028931
295,0,0.281148,-0.364122,-0.000826,6198.970703,53.061420,1684.396851
296,0,0.282051,-0.361125,-0.002612,6221.163086,54.229729,1685.282715
297,0,0.282911,-0.360290,-0.003940,6243.571777,55.577629,1685.960815
298,0,0.283607,-0.360395,-0.005731,6265.611816,56.818893,1686.207764
299,0,0.283415,-0.360413,-0.006570,6287.871582,57.925304,1686.913208
300,0,0.282790,-0.359670,-0.007398,6310.130859,58.867031,1687.633301
301,0,0.281970,-0.362969,-0.007870,6332.270508,60.053505,1687.925293
302,0,0.280188,-0.364190,-0.008697,6354.294922,61.125141,1688.063354
